7, 6.31933069229126,			-5.4853,4.0208,-1.3396,4.0295,-1.2138,2.5339,0.0048
0, 8.485442161560059,			1.3223,1.3187,1.3295,1.3229,1.3199,1.3245,0.0014
1, 8.485442161560059,			1.3218,1.322,1.3157,1.3253,1.3259,1.3175,-0.0006
2, 8.485442161560059,			1.3211,1.3154,1.3317,1.3146,1.3183,1.3202,0.0009
3, 8.485442161560059,			1.2915,1.3504,2.7474,-0.0971,1.3058,1.2864,0.0559
4, 8.485442161560059,			-0.0014,-2.752,1.3207,1.3248,1.3155,1.3216,0.0004
5, 8.485442161560059,			-4.0718,1.3219,1.3226,1.3245,1.3211,1.3149,0.0056
6, 8.485442161560059,			1.3267,1.3283,1.3208,1.321,1.3241,1.3059,-0.0051
7, 8.485442161560059,			-5.4751,4.0157,-1.3396,4.0295,-1.2138,2.5339,0.0048
0, 10.633776903152466,			1.3275,1.3238,1.3243,1.3229,1.3251,1.3245,0.0014
1, 10.633776903152466,			1.3269,1.322,1.3157,1.3253,1.3208,1.3175,-0.0006
2, 10.633776903152466,			1.3262,1.3154,1.3215,1.3146,1.3234,1.3253,0.0009
3, 10.633776903152466,			1.2864,1.3504,2.7525,-0.1022,1.3058,1.2864,0.0559
4, 10.633776903152466,			-0.0014,-2.7519,1.3258,1.3197,1.3206,1.3216,0.0004
5, 10.633776903152466,			-4.0718,1.3168,1.3277,1.3194,1.3262,1.3149,0.0005
6, 10.633776903152466,			1.3267,1.3283,1.3259,1.321,1.3241,1.311,-0.0102
7, 10.633776903152466,			-5.4854,4.0157,-1.3396,4.0295,-1.2138,2.539,-0.0003
0, 12.65166163444519,			1.3275,1.3238,1.3243,1.3229,1.3199,1.3245,0.0014
1, 12.65166163444519,			1.3218,1.322,1.3157,1.3253,1.3259,1.3175,-0.0006
2, 12.65166163444519,			1.3313,1.3103,1.3266,1.3146,1.3234,1.3202,0.0009
3, 12.65166163444519,			1.2864,1.3555,2.7474,-0.0971,1.3007,1.2864,0.0559
4, 12.65166163444519,			-0.0065,-2.7468,1.3207,1.3197,1.3257,1.3165,0.0004
5, 12.65166163444519,			-4.0718,1.3219,1.3226,1.3245,1.3211,1.32,0.0005
6, 12.65166163444519,			1.3216,1.3283,1.3208,1.321,1.3292,1.3058,-0.0102
7, 12.65166163444519,			-5.4751,4.0208,-1.3396,4.0295,-1.2138,2.539,-0.0054
0, 14.815616369247437,			1.3223,1.3289,1.3243,1.3229,1.3199,1.3296,-0.0037
1, 14.815616369247437,			1.3218,1.322,1.3157,1.3253,1.3208,1.3175,-0.0006
2, 14.815616369247437,			1.3262,1.3154,1.3266,1.3146,1.3234,1.3151,0.006
3, 14.815616369247437,			1.2915,1.3504,2.7474,-0.1022,1.3058,1.2864,0.0559
4, 14.815616369247437,			-0.0014,-2.7468,1.3207,1.3197,1.3206,1.3216,0.0004
5, 14.815616369247437,			-4.0718,1.3168,1.3277,1.3245,1.316,1.32,0.0005
6, 14.815616369247437,			1.3267,1.3283,1.3208,1.3159,1.3292,1.311,-0.0051
7, 14.815616369247437,			-5.5059,4.0157,-1.3345,4.0244,-1.2087,2.5339,-0.0003
0, 16.83980655670166,			1.3223,1.3238,1.3243,1.3229,1.3199,1.3245,0.0014
