1, 1.641357183456421,			1.2352,1.2303,1.2401,1.229,1.2474,1.2331,-0.0033
2, 1.641357183456421,			1.2358,1.2037,1.2702,1.2382,1.2372,1.2363,0.0024
3, 1.641357183456421,			1.1999,1.2695,1.2478,1.2174,1.2301,1.2052,0.0507
4, 1.641357183456421,			-0.0065,-3.1848,1.2516,1.2299,1.2328,1.2379,-0.0011
5, 1.641357183456421,			-4.4087,1.2254,1.2492,1.2242,1.24,1.2454,-0.0067
6, 1.641357183456421,			0.6613,0.9653,1.4054,1.477,1.4231,1.4198,0.0061
7, 1.641357183456421,			-5.6334,3.7192,-1.2471,3.7015,-0.5288,1.7694,-0.0012
0, 2.3397939205169678,			1.2716,1.2516,1.2582,1.2519,1.2616,1.2176,0.0418
1, 2.3397939205169678,			1.2352,1.2303,1.2401,1.229,1.2423,1.2382,-0.0084
2, 2.3397939205169678,			1.2358,1.2088,1.2651,1.2382,1.2423,1.2312,0.0024
3, 2.3397939205169678,			1.205,1.2593,1.2529,1.2174,1.2301,1.2052,0.0507
4, 2.3397939205169678,			-0.0014,-3.1797,1.2465,1.2299,1.2328,1.2379,-0.0011
5, 2.3397939205169678,			-4.4087,1.2356,1.239,1.2293,1.2298,1.2505,-0.0016
6, 2.3397939205169678,			0.6613,0.9653,1.4054,1.477,1.4231,1.4249,-0.0042
7, 2.3397939205169678,			-5.6539,3.7141,-1.242,3.7015,-0.5237,1.7592,0.0038
0, 2.859253168106079,			1.2716,1.2516,1.2582,1.2519,1.2565,1.2228,0.0367
1, 2.859253168106079,			1.2301,1.2354,1.2452,1.229,1.2372,1.2331,-0.0033
2, 2.859253168106079,			1.2307,1.2088,1.2651,1.2331,1.2474,1.2312,0.0024
3, 2.859253168106079,			1.1999,1.2644,1.2478,1.2225,1.2301,1.2052,0.0507
4, 2.859253168106079,			-0.0065,-3.1848,1.2516,1.2299,1.2277,1.243,-0.0011
5, 2.859253168106079,			-4.4087,1.2254,1.2543,1.2191,1.24,1.2403,0.0036
6, 2.859253168106079,			0.6613,0.9653,1.4105,1.4719,1.4231,1.4198,0.0061
7, 2.859253168106079,			-5.6385,3.7141,-1.242,3.7015,-0.5288,1.7694,-0.0012
0, 3.506887435913086,			1.2665,1.2618,1.2531,1.2519,1.2616,1.2023,0.0572
1, 3.506887435913086,			1.2353,1.2354,1.2401,1.2341,1.2372,1.2382,-0.0033
2, 3.506887435913086,			1.2307,1.2139,1.26,1.2331,1.2474,1.2312,-0.0027
3, 3.506887435913086,			1.205,1.2593,1.2529,1.2174,1.2301,1.2052,0.0507
4, 3.506887435913086,			-0.0014,-3.1848,1.2465,1.2299,1.2328,1.2379,-0.0011
5, 3.506887435913086,			-4.4087,1.2305,1.2441,1.2242,1.24,1.2403,0.0036
6, 3.506887435913086,			0.6613,0.9653,1.4054,1.4821,1.418,1.4198,0.0061
7, 3.506887435913086,			-5.6487,3.7192,-1.2471,3.7015,-0.5288,1.7643,0.0038
0, 4.1821675300598145,			1.2665,1.2567,1.2582,1.2519,1.2616,1.2023,0.0572
1, 4.1821675300598145,			1.2352,1.2354,1.2401,1.229,1.2423,1.2331,-0.0033
2, 4.1821675300598145,			1.2307,1.2037,1.2702,1.2382,1.2372,1.2363,0.0024
3, 4.1821675300598145,			1.1999,1.2644,1.2478,1.2225,1.2301,1.2052,0.0507
4, 4.1821675300598145,			-0.0014,-3.1797,1.2465,1.235,1.2328,1.2327,-0.0011
5, 4.1821675300598145,			-4.4087,1.2305,1.2441,1.2242,1.24,1.2403,-0.0015
